input,name,formatted_address,lat,lng,place_id,google_maps_url
"Hospital Universitario de Burgos, Burgos",Hospital Universitario de Burgos,"Av. Islas Baleares, 3, 09006 Burgos",42.361942,-3.6848983,ChIJUxA-Vez8RQ0RK91rUX-e0Ag,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJUxA-Vez8RQ0RK91rUX-e0Ag
"Complejo Hospitalario de Navarra, Navarra",Hospital Universitario de Navarra,"C. de Irunlarrea, 3, 31008 Pamplona, Navarra",42.8052565,-1.6682796,ChIJyZUMEXuSUA0R1T1xJj0EwVg,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJyZUMEXuSUA0R1T1xJj0EwVg
"Hospital Miguel Servet de Zaragoza, Zaragoza",Hospital Universitario Miguel Servet,"P.º Isabel la Católica, 1-3, 50009 Zaragoza",41.6348027,-0.8999977,ChIJCz-DaykVWQ0R6H9I-Rzpe4w,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJCz-DaykVWQ0R6H9I-Rzpe4w
"Hospital Joan XXIII de Tarragona, Tarragona",Hospital Universitario Joan XXIII,"C/ Dr. Mallafrè Guasch, 4, 43005 Tarragona",41.1242189,1.2385315,ChIJ4wQVhzr9oxIRGHfMrHnprC8,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ4wQVhzr9oxIRGHfMrHnprC8
"Hospital Clinic de Barcelona, Barcelona",Hospital Clínic de Barcelona,"C. de Villarroel, 170, 08036 Barcelona",41.3891266,2.1517606,ChIJK90xPIWipBIRJ6zNc-2srHs,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJK90xPIWipBIRJ6zNc-2srHs
"Hospital de Sabadell, Barcelona",Consorcio Corporación Sanitaria Parc Taulí,"Parc Taulí, 1, 08208 Sabadell, Barcelona",41.5570752,2.1098612,ChIJEzeUqR6VpBIRLWry0bF-_Ak,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJEzeUqR6VpBIRLWry0bF-_Ak
"Hospital Mutua Terrasa, Barcelona",Hospital Universitari MútuaTerrassa,"Plaça del Doctor Robert, 5, 08221 Terrassa, Barcelona",41.5638576,2.0171051,ChIJzeBXBOiSpBIRTJlHUiW8bJY,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJzeBXBOiSpBIRTJlHUiW8bJY
"Hospital Universitari Germans Trias i Pujol, Barcelona",Hospital Hermanos Trias i Pujol,"Carretera de Canyet, s/n, 08916 Badalona, Barcelona",41.481187,2.2375473,ChIJT8_Gk-y7pBIRtW1TARXF_yo,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJT8_Gk-y7pBIRtW1TARXF_yo
"Hospital San Joan de Deu, Barcelona",Hospital Sant Joan de Déu Barcelona,"Passeig de Sant Joan de Déu, 2, 08950 Esplugues de Llobregat, Barcelona",41.3842658,2.1019417,ChIJHRlbNKqZpBIRcNRe_AzqSdU,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJHRlbNKqZpBIRcNRe_AzqSdU
"Hospital del Mar, Barcelona",Hospital del Mar,"Passeig Marítim de la Barceloneta, 25, 29, 08003 Barcelona",41.3845118,2.1939045,ChIJfZ8dhQijpBIRZQpUuuTgc5k,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJfZ8dhQijpBIRZQpUuuTgc5k
