codi municipi,descripcio municipi,codi ABS,descripcio ABS,codi RS,descripcio RS,codi SS,descripcio SS,codi localitat,descripcio localitat
17112,Ogassa,187,Ripoll- Sant Joan de les Abadesses,64,Girona,6461,Girona Nord,1711207,SURROCA DE BAIX
17114,Olot,171,Olot,64,Girona,6461,Girona Nord,1711400,OLOT
17114,Olot,171,Olot,64,Girona,6461,Girona Nord,1711401,BATET DE LA SERRA
17114,Olot,171,Olot,64,Girona,6461,Girona Nord,1711402,OLOT
17114,Olot,171,Olot,64,Girona,6461,Girona Nord,1711403,SANT CRISTÒFOL DE LES FONTS
17115,Ordis,267,Vilafant,64,Girona,6461,Girona Nord,1711500,ORDIS
17115,Ordis,267,Vilafant,64,Girona,6461,Girona Nord,1711501,ORDIS
17115,Ordis,267,Vilafant,64,Girona,6461,Girona Nord,1711502,POLS
17115,Ordis,267,Vilafant,64,Girona,6461,Girona Nord,1711503,SANT NICOLAU
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711600,OSOR
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711601,CERCENEDES
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711602,MINES D'OSOR
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711603,OSOR
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711604,SANT GREGORI
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711605,SANT MIQUEL DE TER
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711606,SANTA CREU D'HORTA
17116,Osor,5,Anglès,64,Girona,6462,Girona Sud,1711607,SANTA MARIA DEL COLL
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711700,PALAFRUGELL
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711701,AIGUAXELLIDA
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711702,BARCELONETA
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711703,BRUGUEROL
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711704,CALELLA DE PALAFRUGELL
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711705,CANTALLOPS
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711706,ERMEDÀS
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711707,ESTACIÓ
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711708,GOLFET
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711709,LLAFRANC
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711710,LLOFRIU
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711711,MONTFINA
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711712,PALAFRUGELL
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711713,SANTA MARGARIDA
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711714,TAMARIU
17117,Palafrugell,172,Palafrugell,64,Girona,6461,Girona Nord,1711715,VILA-SECA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711800,PALAMÓS
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711801,ALGUER
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711802,BELITRAR
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711803,CALA MARGARIDA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711804,FIGUERAR
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711805,FOSCA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711806,MAS OLIVER
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711807,PALAMÓS
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711808,PALMAR
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711809,PLA DES PLA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711810,RUTLLA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711811,RUTLLA ALTA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711812,SANT ESTEVE DE LA FOSCA
17118,Palamós,173,Palamós,64,Girona,6461,Girona Nord,1711813,SANT JOAN DE PALAMÓS
17119,Palau de Santa Eulàlia,80,Bàscara,64,Girona,6461,Girona Nord,1711900,PALAU DE SANTA EULÀLIA
17119,Palau de Santa Eulàlia,80,Bàscara,64,Girona,6461,Girona Nord,1711901,COMUNS
17119,Palau de Santa Eulàlia,80,Bàscara,64,Girona,6461,Girona Nord,1711902,ESTANYET
17119,Palau de Santa Eulàlia,80,Bàscara,64,Girona,6461,Girona Nord,1711903,PALAU DE SANTA EULÀLIA
17119,Palau de Santa Eulàlia,80,Bàscara,64,Girona,6461,Girona Nord,1711904,SANTA EULÀLIA
17120,Palau-Saverdera,189,Roses,64,Girona,6461,Girona Nord,1712000,PALAU-SAVERDERA
17120,Palau-Saverdera,189,Roses,64,Girona,6461,Girona Nord,1712001,MAS ISAC
17120,Palau-Saverdera,189,Roses,64,Girona,6461,Girona Nord,1712002,PALAU-SAVERDERA
17120,Palau-Saverdera,189,Roses,64,Girona,6461,Girona Nord,1712003,TORROELLES
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712100,PALAU-SATOR
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712101,FONTCLARA
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712102,PALAU-SATOR
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712103,PANTALEU
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712104,SANT FELIU DE BOADA
17121,Palau-Sator,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712105,SANT JULIÀ DE BOADA
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712300,PALOL DE REVARDIT
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712301,BANYETA
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712302,BEGUDA
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712303,CAN BATLLE
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712304,CAN COMES
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712305,PALOL DE REVARDIT
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712306,REPÚBLICA
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712307,RIUDELLOTS DE LA CREU
17123,Palol de Revardit,15,Banyoles,64,Girona,6462,Girona Sud,1712308,SANT MARTÍ DE LA MOTA
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712400,PALS
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712401,ARENALS DE MAR
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712402,MAS TOMASÍ
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712403,MASOS DE PALS
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712404,PALS
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712405,PALSMAR
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712406,PINEDA DE PALS
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712407,PUIGVERMELL
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712408,PUNTA
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712409,RESIDENCIAL DELS MASOS
17124,Pals,172,Palafrugell,64,Girona,6461,Girona Nord,1712410,VINYOLES
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712500,PARDINES
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712501,LLAVANERA
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712502,ORRI
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712503,PARDINES
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712504,PUIGSAC
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712505,PUJALT
17125,Pardines,343,Ribes de Freser-Campdevànol,64,Girona,6461,Girona Nord,1712506,VILARÓ
17126,Parlavà,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712600,PARLAVÀ
17126,Parlavà,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712601,DARÓ
17126,Parlavà,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712602,FONOLLERES
17126,Parlavà,84,La Bisbal d'Empordà,64,Girona,6461,Girona Nord,1712603,PARLAVÀ
17128,Pau,189,Roses,64,Girona,6461,Girona Nord,1712800,PAU
17128,Pau,189,Roses,64,Girona,6461,Girona Nord,1712801,OLIVARS DE PAU
17128,Pau,189,Roses,64,Girona,6461,Girona Nord,1712802,PAU
17128,Pau,189,Roses,64,Girona,6461,Girona Nord,1712803,VILAÜT
17129,Pedret i Marzà,177,Peralada,64,Girona,6461,Girona Nord,1712900,PEDRET I MARZÀ
17129,Pedret i Marzà,177,Peralada,64,Girona,6461,Girona Nord,1712901,MARZÀ
17129,Pedret i Marzà,177,Peralada,64,Girona,6461,Girona Nord,1712902,PEDRET
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713000,PERA
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713001,PEDRINYÀ
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713002,PERA
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713003,PÚBOL
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713004,RIURÀS
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713005,ROCAMARTÍ
17130,La Pera,101,Celrà,64,Girona,6462,Girona Sud,1713006,VALL
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713200,PERALADA
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713201,ESTANYOL
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713202,MONTMAJOR
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713203,MORASSAC
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713204,OLIVES
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713205,PERALADA
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713206,PUIG BARUTELL
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713207,SALANCA
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713208,SANT JOAN SESCLOSES
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713209,VALLGORNERA
17132,Peralada,177,Peralada,64,Girona,6461,Girona Nord,1713210,VILANOVA DE LA MUGA
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713300,PLANES D'HOSTOLES
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713301,COGOLLS
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713302,COSTA
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713303,DUSOL
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713304,ENCIES
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713305,JONQUER
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713306,MAJEM
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713307,PAULÍ
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713308,PLANES D'HOSTOLES
17133,Les Planes d'Hostoles,347,Vall d'en Bas,64,Girona,6461,Girona Nord,1713309,POCAFARINA
